| | | [P1 M:6 W/V: 489/804 %_win: 0.61, SFB: 0.61, U: 0]
| | | | [P2 M:5 W/V: 196/196 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 56/203 %_win: 0.28, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 36/196 %_win: 0.18, SFB: -1.00, U: 0]
| | | | [P2 M:3 W/V: 27/208 %_win: 0.13, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 799/799 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:2 W/V: 793/793 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:3 W/V: 448/796 %_win: 0.56, SFB: 0.56, U: 0]
| | | | [P2 M:5 W/V: 204/204 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 35/197 %_win: 0.18, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 73/203 %_win: 0.36, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 36/191 %_win: 0.19, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 489/804 %_win: 0.61, SFB: 0.61, U: 0]
| | | | [P2 M:6 W/V: 40/202 %_win: 0.20, SFB: -1.00, U: 0]
| | | | [P2 M:3 W/V: 29/220 %_win: 0.13, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 196/196 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 50/185 %_win: 0.27, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 200/3979 %_win: 0.05, SFB: 0.00, U: 0]
| | | [P1 M:3 W/V: 954/1044 %_win: 0.91, SFB: 0.91, U: 0]
| | | | [P2 M:6 W/V: 0/373 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 42/326 %_win: 0.13, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 48/344 %_win: 0.14, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 978/978 %_win: 1.00, SFB: 1.00, U: 0]
