| | | [P1 M:4 W/V: 6/28 %_win: 0.21, SFB: 0.00, U: 0]
| | | | [P2 M:6 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 2]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 2/5 %_win: 0.40, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 2/2 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:6 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 2]
| | | | | [P1 M:0 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:0 W/V: 19/19 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 3/23 %_win: 0.13, SFB: 0.00, U: 0]
| | | | [P2 M:0 W/V: 19/19 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 2]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 9596/9642 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 22/3378 %_win: 0.01, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 1047/1058 %_win: 0.99, SFB: 0.99, U: 0]
| | | | | [P1 M:4 W/V: 1261/1261 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:6 W/V: 1047/1058 %_win: 0.99, SFB: 0.99, U: 0]
| | | | [P2 M:0 W/V: 11/3120 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:6 W/V: 1676/1676 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:4 W/V: 1432/1443 %_win: 0.99, SFB: 0.99, U: 0]
| | | | [P2 M:6 W/V: 12/3143 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 1700/1700 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:4 W/V: 1430/1442 %_win: 0.99, SFB: 0.99, U: 0]
| | [P2 M:6 W/V: 12/7175 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 3766/3766 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:4 W/V: 3396/3408 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 0/1598 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 799/799 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:4 W/V: 798/798 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 11/1809 %_win: 0.01, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 809/819 %_win: 0.99, SFB: 0.99, U: 0]
| | | | | [P1 M:4 W/V: 989/989 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:6 W/V: 24176/24284 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:4 W/V: 8/7152 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:5 W/V: 2248/2256 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 8/1192 %_win: 0.01, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 530/538 %_win: 0.99, SFB: 0.99, U: 0]
| | | | | [P1 M:4 W/V: 653/653 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 0/1063 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 531/531 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:4 W/V: 531/531 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:4 W/V: 2448/2448 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 2447/2447 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:5 W/V: 12/7295 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 3827/3827 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:4 W/V: 3455/3467 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 0/1617 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 808/808 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:4 W/V: 808/808 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 12/1849 %_win: 0.01, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 1029/1029 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:0 W/V: 807/819 %_win: 0.99, SFB: 0.99, U: 0]
| | [P2 M:0 W/V: 88/9836 %_win: 0.01, SFB: 0.00, U: 0]
| | | [P1 M:5 W/V: 4/25 %_win: 0.16, SFB: 0.00, U: 0]
| | | | [P2 M:4 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 2]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 21/21 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 9737/9782 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 12/3190 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:5 W/V: 1724/1724 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:4 W/V: 1453/1465 %_win: 0.99, SFB: 0.99, U: 0]
| | | | [P2 M:5 W/V: 12/3189 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 1465/1476 %_win: 0.99, SFB: 0.99, U: 0]
| | | | | [P1 M:0 W/V: 1712/1712 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 21/3402 %_win: 0.01, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 1069/1079 %_win: 0.99, SFB: 0.99, U: 0]
| | | | | [P1 M:4 W/V: 1262/1262 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:5 W/V: 1049/1060 %_win: 0.99, SFB: 0.99, U: 0]
| | | [P1 M:4 W/V: 6/28 %_win: 0.21, SFB: 0.00, U: 0]
| | | | [P2 M:4 W/V: 2/5 %_win: 0.40, SFB: 0.00, U: 0]
| | | | | [P1 M:5 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 2]
| | | | | [P1 M:0 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 3]
| | | | | [P1 M:4 W/V: 2/2 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 19/19 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:5 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 2]
